year;county;uniID;statement_headline;statement_german;statement_english;SPD;CDU_CSU;Greens;FDP;AfD;Left;SPD_rationale;CDU_CSU_rationale;Greens_rationale;FDP_rationale;AfD_rationale;Left_rationale
2023;BY;A1;Laengere Oeffnungszeiten;Geschaefte in Bayern sollen werktags auch nach 20 Uhr geoeffnet haben duerfen.;Due to 8 p.m.;0;0;2;1;0.0;0;Windstrom ist ein wesentlicher Standortfaktor in Schleswig-Holstein. Das Ziel, mindestens zwei Prozent der Landesflaeche fuer die Windenergie zu nutzen, muss in der kommenden Wahlperiode erreicht werden. Die Tragfaehigkeit der aktuellen Windplanung werden wir deshalb in den ersten 100 Tagen der Regierung evaluieren, da es bereits heute klare Signale gibt, dass die ausgewiesenen Flaechen gar nicht geeignet sind, um die Ausbauziele zu erfuellen.;Wir haben es geschafft, nach landesweit einheitlichen Kriterien zwei Prozent der Landesflaeche fuer Windkraftanlagen auszuweisen. Damit sind wir deutschlandweit Vorreiter. Wir wollen pruefen, ob weitere Flaechen zum Beispiel aufgrund der Belange des Artenschutzes und des Denkmalschutzes mobilisiert werden koennen, ohne dabei die Abstaende zur Wohnbebauung infrage zu stellen. Auch das Repowering bestehender Anlagen werden wir ueberpruefen und verstaerken.;Um von den bereits vereinbarten 10 Gigawatt auf das auf das naechste Zwischenziel 15 Gigawatt zu kommen, muessen wir weitere Flaechen ausweisen. Die Evaluation der Regionalplanung Wind wollen wir vorziehen und unmittelbar nach Beginn der neuen Wahlperiode starten. Wir wollen die Abstandsregeln fuer Windkraftanlagen nach dem Bundesimmissionsschutzgesetz richten. Mit einem neuen Flaechenscreening werden wir weitere geeignete Flaechen fuer die Windenergie identifizieren und erschließen.;Mit der Fertigstellung der Regionalplaene Wind haben wir allen beteiligten Akteuren Planungssicherheit gegeben. Wir wollen Repowering von Bestandsanlagen flexibler machen, erleichtern und auch außerhalb von Vorrangflaechen ermoeglichen, um dadurch akzeptierte Standorte, beispielsweise in den Koegen an der Nordseekueste, fuer effizientes Repowering zu sichern.;Das Flaechenziel an Land ist erreicht. Die Buerger protestieren jetzt schon gegen bestehende Anlagen. Ein weiterer Ausbau waere hoechstens vor den Kuesten denkbar.Der Gedanke, dass Wind und Sonne ein Industrieland wie das unsere mit ausreichend Energie versorgen koennten, ist naiv. Wenn dafuer jetzt auch noch Naturflaechen mit PV-Anlagen oder Waelder mit WKAs bestueckt werden, fuehrt das die Energiewende ad absurdum.;Die Energiewende muss mit einem Ausbau erneuerbarer Energien vorangebracht werden. Besonders gefoerdert werden muessen oeffentliche oder genossenschaftlich organisierte Vorhaben. Investoren muessen verpflichtet werden, den Standortgemeinden eine Beteiligung an neuen Windkraftanlagen anzubieten. Die Kommunen werden dadurch Mitbesitzende. Das ist gut fuer die Finanzen der Kommune und damit auch fuer die Buergerinnen.
2023;BY;A2;Bayerische Grenzpolizei;In Bayern soll es weiterhin eine eigene Grenzpolizei geben.;There should still be a separate border police in Bavaria.;0;1;0;0;1.0;0;Die SPD befuerwortet die Einfuehrung einer allgemeinen Impfpflicht, die befristet ist. Langfristig werden wir die Pandemie in Deutschland nur beenden koennen, wenn der allergroeßte Teil der Bevoelkerung so geimpft ist, dass schwere Verlaeufe auch mit neuen Virusvarianten nicht mehr erwartet werden koennen.;Eine zunaechst zeitlich befristete Impfpflicht kann gravierende negative Folgen moeglicher kuenftiger Pandemiewellen oder Virusvarianten fuer unsere Gesellschaft abschwaechen oder verhindern, wozu vor allem die Ueberlastung des Gesundheitssystems zaehlt. Die Impfpflicht ist dafuer auch aus juristischer Perspektive ein deutlich milderes und weniger invasives Mittel als dauerhaft weitreichende gesellschaftliche Einschraenkungen.;Ueber die Impfpflicht wird im Bundestag entschieden. Die Corona-Impfung schuetzt vor schweren Krankheitsverlaeufen und kann damit eine Ueberlastung des Gesundheitssystems verhindern. Die Impfquote in Deutschland ist derzeit noch zu gering, sodass ein Risiko fuer erneute Einschraenkungen im Herbst und Winter aufgrund moeglicher weiterer Infektionswellen besteht. Aus diesem Grund unterstuetzen wir die Einfuehrung einer allgemeinen Impfpflicht gegen COVID-19 als wesentlichen Baustein raus aus der Pandemie.;Diese Frage wird wohl im Bundestag entschieden werden. Schleswig-Holstein hat sehr hohe Impf- und Boosterquoten. Wir setzen vorrangig auf Aufklaerung und Beratung.;Wer so etwas fordert, ignoriert offensichtlich entscheidende Erkenntnisse der Wissenschaft. Jede Impfung stellt einen Eingriff in die koerperliche Unversehrtheit dar. Dies pauschal durchzusetzen, kaeme einer Verletzung elementarer Persoenlichkeitsrechte gleich. Bisher haben sich saemtliche Versprechungen, dass eine Impfung hohen Selbst- und Fremdschutz bietet, als falsch erwiesen. Auf dieser Grundlage ist eine allgemeine Impfpflicht nicht zu rechtfertigen. Hinzu kommt die Frage der Umsetzbarkeit.;Die LINKE steht an der Seite der Wissenschaft und tritt fuer Impfungen gegen Covid-19 ein. Impfen ist ein Akt der Solidaritaet und rettet Leben. Wir streiten dafuer, dass die Patente der großen Pharma-Konzerne ausgesetzt werden damit weltweit endlich alle Menschen einen ausreichenden Impfschutz bekommen koennen. Zudem fordern wir mehr aufsuchende Impfangebote, gerade in sozialen Brennpunkten. Eine Impfpflicht kann daher nur letztes Mittel sein.
2023;BY;A3;Oekologische Landwirtschaft;Die oekologische Landwirtschaft soll vom Land vorrangig gefoerdert werden.;Ecological agriculture is primarily to be found by the country.;1;0;1;0;0.0;1;An gezielten Punkten wollen wir den Ausbau von Straßen. Wir haben es noch in der Kuestenkoalition geschafft, die fuer Schleswig-Holstein besonders wichtigen Projekte im Bundesverkehrswegeplan 2030 zu verankern. Hierzu zaehlt auch die Autobahn A20 inkl. einer Elbquerung bei Glueckstadt.;Es handelt sich dabei um ein wichtiges und ganz zentrales Infrastrukturprojekt. Mit dem Weiterbau der A20 soll das Nadeloehr um und durch Hamburg entlastet und ein robusterer Verkehr fuer Logistik, Tourismus und Pendler ermoeglicht werden.;Wir haben in Schleswig-Holstein bereits ein sehr gut ausgebautes Straßennetz und moechten daher bei Finanzierung Prioritaet auf den oeffentlichen Verkehr und die Schiene legen. Daher wuenschen wir uns keine neuen Bundesfernstraßen vom Bund. So lehnen wir auch die Fortfuehrung der A20 ueber die Anbindung an die A7 hinaus ab. Bei Landesstraßen setzen wir auf Erhalt statt auf Neubau.;Es fehlt in Schleswig-Holstein seit Jahrzehnten eine leistungsfaehige Ost-West-Straßenverbindung. Dies ist vor allem fuer die Anbindung der Westkueste und die dortige Wirtschaft ein Problem. Bisher laeuft der Verkehr oftmals durch kleine Orte oder durch die Hamburger Innenstadt. Dies muss sich schnellstmoeglich aendern. Dafuer wollen wir auch das komplizierte deutsche Planungsrecht reformieren.;Die A 20 ist eine wichtige Ost-West-Verbindung, die dringend benoetigt wird, um den Verkehr rund um Hamburg zu entlasten und dort Staus und die Belastung der Umwelt zu verringern. Reisenden und Unternehmen im Westen von Schleswig-Holstein eroeffnet die A 20 einen deutlich schnelleren Weg nach Niedersachsen, NRW und den Niederlanden.;Bis zur Erstellung eines integrierten Verkehrskonzeptes braucht es ein Moratorium fuer alle Straßenneubauten, insbesondere fuer die Autobahnen A20 und A21 sowie den Ausbau der A23 auf 6 Spuren.
2023;BY;A4;Freie Grundschulwahl;Eltern sollen die Grundschule fuer ihr Kind unabhaengig vom Wohnort waehlen duerfen.;Parents should go to the elementary school for their child.;0;0;1;1;1.0;0;Das Land ist in der Pflicht dafuer zu sorgen, dass eine flaechendeckende und gute digitale Schule gewaehrleistet wird. Wer die digitale Schule will, muss auch allen Schuelerinnen ein digitales Endgeraet zur Verfuegung stellen bzw. dessen Erwerb ermoeglichen, sobald diese im Unterricht erforderlich sind. Dies ist auch eine Frage der Lernmittelfreiheit.;Wir werden Schuelerinnen und Schuelern mit Unterstuetzungsbedarf digitale Endgeraete zur Verfuegung stellen und die digitale Infrastruktur der Schulen mit hoher Prioritaet weiter ausbauen.;Jedes Kind soll unabhaengig vom finanziellen Hintergrund der Eltern oder Erziehungsberechtigten die Moeglichkeit haben, in der Schule und auch zuhause mit einem digitalen Geraet zu lernen. Wir wollen die Schulen dabei weiter unterstuetzen. Hierfuer werden wir zusammen mit den Schultraegern und unter Beruecksichtigung des geplanten Digitalpakts 2.0 vom Bund ein Gesamtkonzept erarbeiten. In diesem werden wir die Ausleihe, Beschaffung, Wartung und Administration von digitalen Endgeraeten dauerhaft klaeren.;Bund, Laender und Kommunen sollen bei der Bildung zukuenftig eng zusammenarbeiten. Dafuer hat sich die FDP erfolgreich eingesetzt, denn wir sehen Bildung als sehr wichtige gesamtgesellschaftliche Aufgabe an. Die Digitalisierung der Schulen wollen wir erheblich beschleunigen und dabei sollte auch jede Schuelerin und jeder Schueler ein Endgeraet zur Verfuegung haben.;Prinzipiell gilt: Kein digitales Endgeraet ersetzt gute Lehrkraefte. Unsere Schulen haben einen großen Nachholbedarf, was die technische Ausstattung betrifft. Hier darf der Bund gerne bei der Finanzierung helfen. Dass die bereitstehenden Mittel im Land nicht abgerufen werden, zeigt, dass wir auch mehr Lehrkraefte brauchen, die offen und befaehigt fuer die Digitalisierung sind.;Jedes Schulkind soll ein kostenfreies Leihgeraet erhalten, welches nach vier Jahren ausgetauscht wird. Zudem muessen Schuelerinnen in den Schulen eine kostenfreie Druckmoeglichkeit sowie nutzbare Lern- und Arbeitsbereiche mit WLAN-Abdeckung bekommen. Fuer die Nutzung zuhause oder bei Exkursionen ist zusaetzlich mobiles Datenvolumen kostenfrei zur Verfuegung zu stellen.
2023;BY;A5;Erhoehung des Landespflegegelds;Bayern soll pflegenden Angehoerigen ein hoeheres Landespflegegeld bezahlen.;Bavaria is said to pay for nourishing people a higher state care allowance.;1;1;1;0;1.0;1;Wir sollten immer fuer friedliche Konfliktloesungen eintreten. Doch die weltpolitische Lage verlangt es, dass Deutschland und Europa verteidigungsfaehig sein muessen. Wir wollen unseren Beitrag zum gemeinsamen Buendnis leisten. Neben Diplomatie und Zivilschutz brauchen wir eine gut ausgeruestete Bundeswehr, um Deutschland und seine Verbuendeten zu verteidigen und uns vor politischer Erpressung zu schuetzen. Dafuer ist eine Erhoehung der Verteidigungsausgaben erforderlich, die Planungssicherheit schafft.;Die aktuelle Lage zeigt uns, dass Freiheit und Demokratie nicht selbstverstaendlich sind. Um unsere Werte und unsere Buendnispartner verteidigen zu koennen, muessen wir die Bundeswehr gut ausstatten. Wir stehen daher fuer die Erhoehung der Verteidigungsausgaben auf zwei Prozent des Bruttoinlandsprodukts und wollen, dass diese dauerhaft auf diesem Niveau gehalten werden.;Als Haushaltsgesetzgeber muss der Bundestag ueber die Erhoehung und Verwendung der Mittel entscheiden. Die sicherheitspolitische Lage in Europa hat sich gravierend veraendert. In ihrem aktuellen Zustand kann die Bundeswehr nicht alle Aufgaben als NATO-Buendnispartner erfuellen. Eine Debatte ueber die Hoehe des Verteidigungsbudgets ist notwendig, muss jedoch verbunden werden mit einer generellen Aufgabenkritik und der Reform des Beschaffungswesens.;Es geht hierbei nicht um Aufruestung, sondern um eine angemessene Ausruestung der Bundeswehr, damit diese ihre Aufgaben endlich wieder vernuenftig erfuellen kann. Dies wurde seit Jahren von unseren Verbuendeten eingefordert. Es wird Zeit, dass wir unsere Zusagen jetzt einhalten und die Bundeswehr besser ausruesten.;Unter den letzten Bundesregierungen ist ueber Jahrzehnte eine voellig unrealistische Sicherheitspolitik betrieben worden, die sich allein auf die militaerische Staerke der USA verlaesst. Deutschland muss seine eigene Wehrfaehigkeit wiederherstellen und sich endlich auf seine eigenen Interessen besinnen.;Eine Aufruestungsspirale muss unbedingt verhindert werden. Wir wollen das Geld fuer Soziales und die Energiewende einsetzen. Dass sofort Geld zur Verfuegung stand fuer Aufruestung zeigt: Wenn es politisch gewollt ist, stehen Milliarden von Euro sofort zur Verfuegung. DIE LINKE will dieses Geld aber fuer die Verbesserung der Lebensgrundlagen der Mehrheit der Menschen einsetzen. Die Ausgaben fuer Militaer in den Staaten der NATO liegt schon jetzt um ein Vielfaches ueber den Ausgaben Russlands.
2023;BY;A6;Oel- und Gasheizungen;Bayern soll sich dafuer einsetzen, dass reine Oel- oder Gasheizungen auch ab 2024 noch eingebaut werden duerfen.;Bavaria should be committed to the fact that pure oil or gas heaters will also be installed from 2024.;0;1;0;1;1.0;2;Wir wollen eine nachhaltige Landwirtschaft - oekologisch vertraeglich, sozial gerecht, oekonomisch rentabel und am Tierwohl orientiert. Das bedeutet neben einer Verbesserung des Tierwohls Quoten, wie viele Nutztiere Landwirte je Hektar halten duerfen. Dies kann aber nur mit einer Reform der EU-Agrarpolitik umgesetzt werden, damit die Landwirtinnen von ihrer Arbeit auch gut leben koennen.;Unser Leitbild ist die ueber Generationen entstandene Kulturlandschaft mit einer aktiven Landbewirtschaftung zur Erzeugung von qualitativ sicheren und hochwertigen Lebensmitteln und einer flaechengebundenen Nutztierhaltung. Dabei achtet die Landwirtschaft ohnehin darauf, ein gesundes Maß von Flaeche zu gehaltenen Nutztieren nicht zu uebersteigen.;Fuer den Klima- und Gewaesserschutz und das Tierwohl ist eine Verringerung der gehaltenen Tiere pro Flaecheneinheit notwendig. Die Zahl der gehaltenen Tiere muss sich staerker an der zur Verfuegung stehenden bewirtschafteten Flaeche orientieren. Wir streben maximal zwei Großvieheinheiten pro Hektar an. Die Reduzierung der Tierdichte vermindert CO2-Emissionen, die Nitrat- und Phosphatbelastung unserer Gewaesser und den Eintrag von Antibiotika sowie weiteren Schadstoffen in die Lebensmittelkette.;Entscheidend ist nicht die Anzahl der Tiere, sondern das Haltungsmanagement. Die FDP will Erleichterungen fuer Tierwohlstaelle im Bau- und Emissionsrecht schaffen. Wir befuerworten zudem eine verbindliche Tierhaltungskennzeichnung und treten fuer EU-weit einheitliche Standards ein.;Nicht die Flaeche ist entscheidend, sondern die Haltungsart;Zur Foerderung des Tierwohls braucht es hoehere Mindeststandards fuer die Tierproduktion . Langfristig fordern wir ein Verbot der Massentierhaltung. Außerdem wollen wir, dass die Exportsubventionen von Erzeugnissen aus der Massentierhaltung gestrichen werden.
2023;BY;A7;Waehlen ab 16;Bei Landtagswahlen sollen Jugendliche ab 16 Jahren waehlen duerfen.;In state elections, young people aged 16 and over are supposed to due.;1;0;1;1;0.0;1;Wir wollen den OePNV ausbauen, unabhaengig ob in der Stadt oder im laendlichen Raum. Die Mobilitaet der Zukunft muss nachhaltig, komfortabel, digital und bezahlbar sein. Im laendlichen Raum gilt unsere Aufmerksamkeit der sinnvollen Kombination aus Bus und Bahn, Radverkehr und Elektromobilitaet.;Im Rahmen des Oeffentlichen Personennahverkehrs ist das Land insbesondere fuer den Schienenpersonen-Nahverkehr zustaendig, waehrend Busverbindungen in die Zustaendigkeit der Kommunen fallen. Bahnstrecken verbinden die staedtischen Zentren miteinander und sorgen durch Bahnhoefe auf der Strecke fuer die Anbindung des laendlichen Raumes an die Staedte. Insofern kommen die Landesmittel Staedten und laendlichen Regionen gleichermaßen zugute.;Der Ausbau des oeffentlichen Personennahverkehrs muss gleichberechtigt in Stadt und Land erfolgen.;Wir wollen den Oeffentlichen Personennahverkehr in allen Landesteilen und sowohl in der Stadt als auch auf dem Land mit der Umsetzung des Landesnahverkehrsplans konsequent staerken. Wir wollen die Schieneninfrastruktur modernisieren und ausbauen und die Qualitaet der Fahrzeuge, Bahnhoefe und Haltestellen verbessern. In den Fahrzeugen sollen es ueberall WLAN geben und die Tickets auch digital buchbar sein. Die Fahrzeuge sollen auf klimafreundliche Antriebe umgestellt werden.;Die Mittel sollen dort eingesetzt werden, wo der Bedarf am groeßten ist. Das ist in der Regel im staedtischen oder stadtnahen Bereich der Fall.;Landesmittel zum Ausbau des OePNV sollen ueberall dort eingesetzt werden, wo der Bedarf besteht. Dazu braucht es eine integrale Planung, die die Bedarfe in Stadt und Land gleichermaßen beruecksichtigt und miteinander verzahnt.
2023;BY;A8;Foerderung von Beschneiungsanlagen;Die Modernisierung und der Ausbau von Beschneiungsanlagen sollen weiterhin vom Freistaat gefoerdert werden.;The modernization and the expansion of snowmaking systems should continue to be fought by the Free State.;0;1;0;1;1.0;0;Jede polizeiliche Maßnahme, die zu einem Grundrechtseingriff fuehrt, muss gut begruendet sein. Wir halten es fuer ausreichend, wenn es einzelne zeitlich befristete Orte gibt, an denen wegen einer besonderen Gefahrenlage verdachtsunabhaengige Kontrollen durchgefuehrt werden koennen. Doch wir halten es fuer unvereinbar mit dem Rechtsstaatsprinzip, wenn ein solcher polizeilicher Eingriff ohne konkreten Verdacht einer Gefahr fuer die oeffentliche Sicherheit vorgenommen werden wuerde.;Verdachtsunabhaengige Kontrollen sind wichtig zur Bekaempfung des internationalen Terrorismus und der grenzueberschreitenden Kriminalitaet. Die Polizei benoetigt ein Instrument, um der hohen Flexibilitaet und Mobilitaet in diesem Bereich zu begegnen. Dazu muss sie ueber Lageerkenntnisse zu Tatschwerpunkten und Taeterstrukturen verfuegen. Der Schluessel hierfuer ist eine Befugnis, Personen kontrollieren zu duerfen, wenn sie sich im internationalen Verkehr bewegen.;Verdachtsunabhaengige Personenkontrollen sollen der Polizei auch kuenftig nur begrenzt erlaubt sein, z.B. in Regionen mit vielen Wohnungseinbruechen oder im Grenzverkehr. Dann duerfen Personen kurzzeitig angehalten und Fahrzeuge eingesehen werden. Wichtig ist dabei, dass der Anlass fuer solche Kontrollen nicht allein auf gruppenbezogene Merkmale gerichtet sein darf, z.B. in Form von racial profiling. Darum werden wir uns auch fuer die Einfuehrung einer sog. Kontrollquittung einsetzen.;Dieses Instrument lehnen wir weiterhin ab, um die Buergerrechte zu schuetzen. Wir wollen Kriminalitaet effektiv bekaempfen und nicht unbescholtene Buergerinnen und Buerger unter Generalverdacht stellen.;Dies ist unter bestimmten Voraussetzungen sinnvoll und wird bereits praktiziert.;Mehr Sicherheit gibt es nicht durch die Aufruestung der Polizei und immer mehr polizeiliche Befugnisse, sondern durch Bekaempfung der sozialen Ursachen von Kriminalitaet, Verunsicherung und Gewalt. Der Vollzug bestehenden Rechts und die Abwendung von Gefahren muessen ebenso gewaehrleistet sein wie der Schutz der Freiheits- und Buergerrechte - fuer alle. Wir wollen daher eine rechtsstaatliche Begrenzung der Polizei-Befugnissen, damit diskriminierende Praktiken wie ,,Racial Profiling verhindert werden.
2023;BY;A9;29--Ticket fuer alle;Fuer die Nutzung des oeffentlichen Personennahverkehrs in Bayern soll es ein 29--Ticket fuer alle geben.;There should be a 29 ticket for everyone for the use of public transport in Bavaria.;1;0;1;0;0.0;1;Schleswig-Holstein ist ein Tourismusland. Es soll grundsaetzlich erlaubt sein, auch private Wohnungen als Ferienwohnungen zu vermieten. Dennoch darf dies nicht dazu fuehren, dass bezahlbarer Mietwohnraum verloren geht. Daher brauchen insbesondere die Kommunen, in denen die Wohnungsmaerkte angespannt sind, wirkungsvolle Instrumente, um die weitere Umwandlung von Wohnraum in Ferienwohnungen notfalls beschraenken zu koennen.;Grundsaetzlich unterstuetzen wir diese Aussage. Wir weisen jedoch drauf hin, dass es sich um eine kommunale Entscheidung handelt, die individuell vor Ort getroffen werden muss;Grundsaetzlich sollen private Vermieterinnen auch kuenftig die Moeglichkeit haben, private Wohnungen als Ferienwohnungen zu vermieten. Hierfuer braucht es aber klare Regeln fuer eine soziale Wohnungspolitik. Mit einem Wohnraumschutzgesetz werden wir die Spekulation mit Wohnraum eindaemmen und Wohnraum erhalten und schuetzen. Auch wollen wir damit die Zweckentfremdung von Wohnraum durch Sanktionen wirkungsvoll verhindern, attraktive Konzepte zur Binnenverdichtung und Sanierung foerdern.;Ja, dies kann eine wichtige Ergaenzung des touristischen Angebots sein.;Schleswig-Holstein ist ein wunderschoenes und beliebtes Tourismusland. Daher ist auch die Vermietung von Privatwohnungen zu begrueßen.Sollte der Anteil von Ferienwohnungen zu hoch werden, sollen Kommunen die Moeglichkeit einer Deckelung haben.;Der Wildwuchs an Zweit- und Ferienwohnungen und die Vermietung von Wohnraum zu touristischen Zwecken ueber Portale wie Airbnb verschaerft den Mangel an bezahlbarem Wohnraum in unserem Land massiv. Schleswig-Holstein hat als eines von wenigen Bundeslaendern kein Wohnraumschutzgesetz erlassen. Wir wollen das aendern. Denn nur dann kann z.B. Leerstand von den Kommunen bekaempft und wieder mehr bezahlbarer Wohnraum geschaffen werden.
2023;BY;A10;Sammeleinrichtungen;Asylbewerberinnen und -bewerber sollen bis zur Entscheidung ueber ihren Antrag in Sammeleinrichtungen untergebracht werden.;Asylum seekers are to be accommodated in collecting facilities until their request for their application.;0;1;0;0;1.0;0;Wir brauchen eine Erinnerungskultur, die Wissen vermittelt sowie zur Reflexion und zum Hinterfragen anregt. Unsere Demokratie ist nicht selbstverstaendlich und muss stets aufs Neue verteidigt werden. Besuche einer Gedenkstaette, die an die Verbrechen des Nationalsozialismus erinnern, foerdern diese wichtige Erinnerungskultur. Schulen sollen hierfuer weitere Ressourcen bekommen.;Aufgrund unserer historischen Verantwortung ist der Kampf gegen den Antisemitismus ein besonderes staatliches Ziel. Wir muessen dafuer sorgen, dass die Verbrechen des Nationalsozialismus niemals in Vergessenheit geraten. Dazu werden wir den Besuch einer Gedenkstaette der Judenverfolgung und dessen Aufarbeitung im Unterricht verpflichtend in den Schulunterricht integrieren.;Die Erinnerung an die nationalsozialistische Gewaltherrschaft muss wachgehalten werden. Eine aktive Erinnerungskultur bleibt elementare Grundlage der Demokratiebildung in unserem Land. Auch angesichts zunehmender antisemitischer oder rassistischer Gewalt ist die Auseinandersetzung mit der NS-Zeit an historischen Gedenkstaetten ein wichtiger Beitrag zur Sensibilisierung junger Menschen. Der Besuch einer Gedenkstaette soll deshalb fuer Schuelerinnen selbstverstaendlicher Teil des Unterrichts sein.;Das sollte das Ziel sein, denn die Eindruecke bei einem Besuch einer Gedenkstaette fuehren den jungen Menschen das Ausmaß der Verbrechen des Nazi-Regimes noch einmal viel deutlicher vor Augen als Buecher, Filme oder Schilderungen im Unterricht dies tun koennen. Auch der Besuch von anderen Gedenkstaetten wird von uns unterstuetzt .;Solche Besuche sind bereits vorgesehen und gaengige Praxis. Eine ausdrueckliche Verpflichtung ist daher unnoetig.;Es braucht eine vielfaeltige antifaschistische Erinnerungskultur, um das Gedenken an die Opfer von damals und heute zu bewahren. Ein umfassendes Wissen ueber die Verbrechen im deutschen Faschismus ist wesentlich dafuer, unsere Demokratie auch heute gegen die Bedrohung durch extreme Rechte und autoritaere Tendenzen in Staat und Gesellschaft zu verteidigen.
